,job_details,benefits,full_desc,hiring_ins
932,"Job details
Salary
$57,000 - $70,000 a year
Job Type
Full-time",,"Description:

POSITION PURPOSE
LifeSafer/Scram Systems is the leading manufacturer, distributor, and service provider of alcohol and electronic monitoring solutions. We manufacture a suite of products that provide alcohol consumption monitoring and electronic location monitoring. These product lines in monitoring technology have revolutionized the supervision of alcohol and electronic monitoring clients.
LifeSafer/Scram Systems is looking for a Senior Analytics Support Representative to support our alcohol and electronic monitoring solutions to service partners, courts, agencies and clients. The Senior Analytics Support Representative will also provide customer support for all of our hardware, software and service products.
ESSENTIAL FUNCTIONS AND BASIC DUTIES
Specific Responsibilities Include:
Creation of internal training program with product and business overview.
Creation of ongoing training modules for current and new personnel, including classroom style learning, virtual or one-on-one instruction.
Creation of new programs and tracking to ensure compliance and documentation of trainings have been completed.
Assist new hires through the onboarding process, including scheduling with departmental speakers (in-person or virtual.)
Evaluate trainee performance during each phase of training.
Support post-training evaluation process and identify gaps in knowledge.
Creation of adaptive training modules for refresher training.
Customer service skills with customer relationship building for training purposes.
Trainings for new product launches and emerging business technologies.
Fundamental technical support skills and knowledge.
Manage departmental hot topics and maintain communications with Level 2 to develop documentation and personal support for dissemination and provide troubleshooting processes.
Provide centralized contact point for questions, mentoring, and continued education.
Other duties as assigned to assist with business needs
Requirements:

QUALIFICATIONS
Education/Certification:
Bachelor’s degree preferred (pursuing or achieved)
High School Diploma or equivalent required
Level II certification required upon employment
Minimum of 5 years of internal employment
Experience Required:
1-4 years of customer service or experience in a technical or software industry
Criminal Justice background preferred
Salesforce is a plus
DAI, DAII, and Senior experience/knowledge
Skills / Abilities:
Strong customer service and technical background
Strong analytical and problem-solving skills
Strong attention to detail
Exceptional listening skills
Strong written and verbal communication skills to convey technical concepts
Self-motivated and organized; able to prioritize and execute tasks under direct supervision.
Works well in a cross functional team environment
Proficiency with Microsoft Office (Excel, Word, PowerPoint), Android and iOS platforms
Proficient with LMS Systems
Proficient with Storyline, Camtasia and other training tools
Ability to remain flexible, and work a varied schedule as needed
Respectfull to staff, peers and senior management
Physical Requirements/Work Environment:
May need to sit or stand for several hours duration
May need to work from an office setting during training, or as requested

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.","Hiring Insights
Job activity
Posted Today"
933,"Job details
Job Type
Full-time",,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do

The Data Extraction Analyst will support our federal client to establish service standards, and track performance against those standards and benchmark customer service performance against the best in business. The goal of the program is to provide performance feedback that is actionable and will aid in improving overall quality health care.

This individual will be responsible for extracting healthcare data from one or more data systems (e.g., M2, MDR, DEERS), marrying data across data sets, and - as required - performing analytical studies on health care trends, program performance, and resource consumption using advanced analytical, programming, data mining and statistical techniques. This requires experience with data systems (e.g., M2, MDR, DEERS) and the use of statistical software (SAS and SQL) and business intelligence software (Business Objects). The individual will need to demonstrate SAS experience manipulating large, complicated data sets, as well as experience with advanced analytical, statistical, or programming software, such as SAS, Stata, R, or SQL. Experience with complex survey analysis and Tableau or Qlik is a plus. He/she may be responsible for overseeing the work of another data extractor as well. Specific tasks may include, but are not limited to:

Perform data extraction, analysis, and quality assurance activities to assist in program evaluation, survey operations, and cost assessment decision making; develop and deliver presentations with insights and recommendations for leadership

Design and/or evaluate effective data extractions, both in content and in assignment to extractors

Design alternative instrument items, sampling plans, data flows, data processing, and/or reports and briefing presentations to optimize the information gained from data collections

Provide support for ad hoc data and or information requests that may have a very short suspense

The team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Strategy offering leads strategic planning & portfolio management and reporting & monitoring workstreams. This includes day-to-day client interaction and leads to the creation of relevant resources and materials (such as strategic plans, roadmaps, etc.) and work products (such as development of performance metrics, tracking dashboards, etc.) in order to successfully implement client vision.

Qualifications

Required:
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future
Must be eligible for US Security clearance
2+ years experience in statistical programming tools such as SAS","Hiring Insights
Job activity
Posted 3 days ago"
934,"Job details
Salary
$57,400 - $90,266 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
401(k) 4% Match
401(k) matching
Health insurance","The Inventory Analyst, Master Data is responsible for the integrity and accuracy of master data in the SAP system and integrated systems. The position works across the SAP and material data platforms with various groups, cross functional departments and within continuous improvement projects. The analyst will work as an SAP master data subject matter expert to provide guidance and training as necessary for the business requirements. The master data inventory analyst will provide critical thinking and review requests for accuracy and adherence to master data standards as they are received from the business.
Essential Functions:
Knowledge of specific SAP Master Data skills and knowledge of all relevant master data setup to include material master, storage locations, bills of materials, and routings.
Proficient in executing material master transactions, performing mass changes, table lookups, and utilizing analysis tools in SAP to audit data.
Responsible for reviewing requests for master data changes and rejecting or approving the changes to ensure high quality, accurate data.
Have a high level of understanding of operations data related business processes to create and maintain master data.
Support the business to help resolve day to day master data, transaction, and inventory issues.
Research and recommend solutions to help resolve data related issues as part of the escalation process.
Collaborate and train other departments in use of new product set up process and documents and inventory control.
Ability to distinguish between process order and BOM change requirements.
Winshuttle experience is a plus.
Other requirements
Extremely detail oriented and thorough.
Strong critical thinking skills.
Continuous improvement mindset.
Ability to lead and influence others, and to challenge status quo to drive positive change.
Ability to take ownership and responsibility for a team or process.
Strong excel skills.
EXPERIENCE/EDUCATION/TRAINING:
Educational attainment equivalent to 4 year degree (BA/BS)
3 – 5 years’ experience in material master maintenance in ERP system preferred
Considerable experience involving inventory control, purchasing and material management work using computerized databases
Knowledge of SAP Master Data requirements
KNOWLEDGE/SKILLS/ABILITIES RECOMMENDED FOR POSITION:
Considerable knowledge of cycle counting, physical inventory procedures and record keeping requirements
Knowledge of computerized inventory control systems, MRP and BOMs,
Strong math skills
Strong PC skills, especially spreadsheets
Ability to operate a computer to enter, update and retrieve information quickly and accurately
Ability to communicate effectively, both written and verbal.
Here’s what we offer you:
Competitive pay and bonus opportunities.
Accrue 15 paid days off the first year.
401(k) retirement plan with 4% match.
Competitive health plans for individuals and families.
Check out behr.com/careers to view a comprehensive list of our benefits and perks.
Founded in 1947, Behr Paint Company is one of the largest manufacturers of paints, primers, decorative finishes, stains, surface preparation, and application products for do-it-yourselfers and professionals in the United States, Canada, Mexico, China, and Chile. The Santa Ana, Calif.-based company and maker of the BEHR®, KILZ®, WHIZZ®, and E&J® brands is dedicated to meeting the project needs of DIYers, professionals, architects, and designers with an unwavering commitment to quality, innovation, and value. At Behr Paint, we strive to have all team members bring their best selves and their unique perspectives every day.
Company: Behr Paint Company
Full time
Hiring Range: $57,400.00 - $90,266.00
Actual compensation may vary based on various factors including experience, education, geographic location, and/or skills.
Our Ongoing Commitment to Diversity, Equity & Inclusion
We believe a workplace that encourages and values different voices, perspectives, and backgrounds builds better teams, better solutions, and more innovation. The goal is for every single team member to have a voice and experience a sense of belonging here, regardless of where they sit in the organization and what their background is. We look forward to your sharing your outstanding and unique talents and perspectives with us!
BEHR (the “Company”) is an equal opportunity employer and we want to have the best available persons in every job. The Company makes employment decisions only based on merit. It is the Company’s policy to prohibit discrimination in any employment opportunity (including but not limited to recruitment, employment, promotion, salary increases, benefits, termination and all other terms and conditions of employment) based on race, color, sex, sexual orientation, gender, gender identity, gender expression, genetic information, pregnancy, religious creed, national origin, ancestry, age, physical/mental disability, medical condition, marital/domestic partner status, military and veteran status, height, weight or any other such characteristic protected by federal, state or local law. The Company is committed to complying with all applicable laws providing equal employment opportunities. This commitment applies to all persons involved in the operations of the Company regardless of where the employee is located and prohibits unlawful discrimination by any employee of the Company.
BEHR is an E-Verify employer. E-Verify is an Internet based system operated by the Department of Homeland Security (DHS) in partnership with the Social Security Administration (SSA) that allows participating employers to electronically verify the employment eligibility of their newly hired employees in the United States. Please click on the following links for more information.
E-Verify Participation Poster: English & Spanish
E-Verify Right to Work Poster: English & Spanish","Hiring Insights
Job activity
Posted 20 days ago"
935,"Job details
Job Type
Full-time",,"Overview:
The Reporting Data Analyst has responsibility for analyzing healthcare data and building reports and dashboards that support Lucina’s clients, both internal and external, in managing maternity population. This position reports to the Senior Manager, Data Analytics for Lucina.
Responsibilities:
Build dashboards to monitor daily production data and quality of algorithm results for assigned clients’ maternity populations.
Understand reporting requirements for assigned clients and design dashboards to meet their needs and help manage inventory to optimize results.
Work with clinical operations to understand and develop key indicator reporting.
Support development and integration testing for algorithm logic enhancements, new products/services, and new technology applications.
Review exception cases to determine status of maternity episodes and address client inquiries.
Qualifications:
Advanced SQL knowledge and experience working with relational databases and data warehouses such as SQL Server, Oracle, Postgres or similar
Experience analyzing and working with healthcare data
Experience with Power Bi, Power Query, and DAX but will consider experience with Tableau and other BI tools on a case by case basis.
Experience with Databricks a plus but not required
Experience with CI/CD principles a plus but not required
Experience with Python a plus but not required
Experience with AWS and Azure cloud environment experience a plus but not required
Strong communication skills with ability to work across internal and external teams","Hiring Insights
Job activity
Posted 4 days ago"
936,"Job details
Salary
$65,000 - $78,000 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
401(k) matching
Dental insurance
Food provided
Health insurance
Paid time off
Vision insurance","Eggs Unlimited is a family-owned company headquartered in Irvine, California. We are one of the largest egg companies in the nation. Operated by a team of customer oriented, experienced individuals we are constantly working to bring you the best quality eggs for the best possible price. We utilize our extensive experience spanning all aspects of the egg industry from farming to purchasing to freight and logistics in order to consistently prove to you that we have your margins in mind.
We are looking for an experienced Data Analyst to hit the ground running in this role. Working closely with our Leadership team, we are looking for someone that can work within a team and have the ability to work independently on their day-to-day duties. This person is a key player that provides accurate and meaningful financial reporting and insightful analysis to aid in critical decision-making.The ideal candidate will have a solid background in financial analysis and reporting, with experience in consolidating and evaluating budgets and actual information from multiple sources. This person will be able to review our current data and deeply the understand the underlying business and market conditions that impact our business and be able to identify and explain the reasons for variances between budget and actual results.
Essential Functions and Responsibilities:
With limited supervision, the Data Analyst is responsible for data compilation, data management, data analysis, and reporting
Extracts and compiles various sources of information and large data sets from various systems or applications
Set up process for monitoring, tracking and trending information and data using various systems or applications
Prepares well-organized, easily understood reports, analysis, and summary of findings for use by management
Assists in preparation of regularly produced reports to support executive decision-making
Researches and analyze report results identifying opportunities and trends
Consolidates data from multiple sources, using industry-based tools or manually; able to process data effectively using Microsoft Excel
Supports management and other team members as requested on all things data related.
Requirements:
3+ years of budgeting and financial reporting experience.
Proven qualitative and quantitative analytical skills
Excellent written and oral communication skills
Advanced level user of Microsoft Office Excel and PowerPoint
BA / BS – Bachelor's degree in Mathematics, Finance, Economics, or related quantitative discipline preferred
Strong analytical skills with demonstrated ability to organize, model, interpret and analyze data to identify and develop valuable insights to support decision making
Results-oriented team player that relishes challenges and works well under pressure
Advanced presentation skills and ability to present data to Senior Management
Willingness and ability to work at speed to meet deadlines, prioritize and handle simultaneous requests, and work across diverse teams to achieve successful outcomes
We are looking for someone comfortable working in a small company office environment, with drive and initiative to not only complete and maintain duties but to develop and improve our systems. This is an exciting opportunity for an individual to be a vital and valued member of the team with opportunity of growth and development.
Benefits:
Medical, Dental and Vision Benefits
401K Contribution
PTO
Free Lunch everyday + Snacks and Refreshments provided all day
Job Type: Full-time
Pay: $65,000.00 - $78,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Ability to commute/relocate:
Irvine, CA 92618: Reliably commute or planning to relocate before starting work (Required)
Experience:
Microsoft Excel: 1 year (Preferred)
Work Location: One location

Health insurance","Hiring Insights
Hiring 1 candidate for this role
Job activity
Employer reviewed job 3 days ago
Posted 18 days ago"
937,"Job details
Salary
$5,875 - $8,663 a month
Job Type
Full-time","Benefits
Pulled from the full job description
Dental insurance
Health insurance
Paid time off
Vision insurance","Initial Posting Date:
04/11/2023
Application Deadline:
04/28/2023
Agency:
Higher Education Coordinating Commission
Salary Range:
$5,875 - $8,663
Position Type:
Employee
Position Title:
Senior Data Analyst
Job Description:
Come for a job. | Stay for a career. | Make a difference… for a lifetime!!!
Do you enjoy researching, analyzing and reporting on workforce data ? Then look no further! Join the Higher Education Coordinating Commission’s Research and Data team as a Senior Data Analyst (Research Analyst 4) .
This recruitment is to fill 1 limited duration position anticipated to last through June, 2025. This position may become permanent pending future funding.
Why Join Us
The
Higher Education Coordinating Commission
(HECC) envisions a future in which all Oregonian’s benefit from the transformational power of high-quality postsecondary education and training. Come work with a team that values equity, affordable access to education, and lifelong learning within beautiful Salem, Oregon!
Agency Values - Transparency, Equity, Integrity, Trust, Collaboration, Accountability, Lifelong Learning
Equitable Recruiting
The HECC strives to create an inclusive environment that welcomes and values the diversity of the people we serve. We foster fairness, equity, and inclusion to create a workplace environment where everyone is treated with respect and dignity. We would encourage you to apply, even if you don't meet every one of our qualifications listed. If you are unsure whether you meet the qualifications of these positions, please feel free to contact us to discuss your application .
Studies have shown that women and people of color are less likely to apply for jobs unless they meet every one of the qualifications listed. We are most interested in finding the best candidate for the job, and that candidate may be one who comes from a non-traditional background
What You Will Be Doing
You will be the subject matter expert on workforce program data. This includes leading data analyses, reporting, and research within the Higher Education Coordinating Commission’s Office of Research and Data, in coordination with the Office of Workforce Investments, especially as related to the federal Workforce Investment Opportunity Act (2014). You will act as the agency spokesperson in matters of workforce program data to internal and external audiences.
You will have three main roles -
First, you will lead workforce program data collections from external partners (e.g., from workforce training organizations, local workforce boards, community colleges, public universities, career schools) by coordinating external and internal partners, managing processes, executing process improvements, and developing and implementing data policy.
Second, you will design and complete reporting and research, both ad-hoc and long-term, by analyzing workforce program data and preparing reports for federal agencies, the HECC Commission and agency, the Legislature, other state agencies, the media, postsecondary institutions, and other external partners.
Third, you will lead the development of new policies and new products that expand and improve HECC research and data across workforce and other postsecondary sectors as the agency adds new collections and reports in collaborations with external and internal partners, including other members of the Research & Data team.
For a complete list of duties and working conditions, please contact the recruiter for the position description.
Working Conditions
This position will have working conditions typical of an open office environment such as daily team interactions and physical activity normally associated with filing and sitting for extended periods, occasional bending, stooping, and walking to meetings within the building.
This position will be headquartered in our Salem office; however, the successful candidate may be eligible for in-state hybrid work. Hybrid work consists of performing duties onsite in a standard office environment and working remotely.
This is a full-time Management Service position and is not represented by a union.
Desired Attributes/Skills
If you have these qualities, let us know! It’s how we will choose whom to move forward!
Advanced SQL programming skills and experience working with relational databases and large datasets.
Advanced Excel proficiency.
Broad and demonstrated experience managing multi-faceted data collections.
Demonstrated experience independently designing and completing research reports.
Excellent verbal and written communication skills and ability to communicate effectively with diverse individuals.
Demonstrated ability convening and supporting diverse groups in a way that encourages engagement, active listening and group problem-solving. Skills in collaborative problem-solving and collegial relationship-building with partner agencies and diverse stakeholder groups.
Strong skills in guiding colleagues in data preparation and analysis.
Demonstrated ability to correctly assess the political and institutional environment in which decisions are made and implemented.
High degree of accuracy and attention to detail. High degree of flexibility and work-demand tolerance.
Fluency in programming languages (e.g., C Sharp, Python).
Minimum Qualifications (Required Skills)
A Bachelor's Degree in any discipline that included six-quarter units in statistics or quantitative analysis methods and procedures, and three years’ experience using advanced computerized applications to independently gather, compile, and analyze data and prepare narrative or statistical reports. Two of the three years must have included coordinating complex research projects.
OR
Five years of research experience using advanced computerized applications to independently gather, compile, and analyze data and prepare narrative or statistical reports. Two of the five years must have included coordinating complex research projects.
The Benefits
Competitive medical, vision and dental benefits package for the employee and qualified family members.
Opportunity to participate in a deferred compensation savings program.
A fabulous retirement program.
Click here
to visit our full benefits website.
Work-life balance-
11 paid holidays per year.
3 additional paid ""Personal Business Days"" per year.
8 hours of sick leave accumulated every month.
Progressive vacation leave accrual, starting at 10 hours per month, with increases every 5 years.
Work with a team that values equity, affordable access to education, and lifelong learning within beautiful Salem, Oregon!
How to Apply
Current State of Oregon Employees: Please apply through the Career worklet within your
Employee Workday Profile
.*
Click the apply button and fill in the application fields.
Complete the questionnaire.
Upload your resume.
Attach a cover letter
Limit to no more than two (2) pages and
Clearly demonstrates how your education and work experience meet the desired attributes of this position.
Be sure to check your applicant inbox periodically for updates and information requests.
Failure to respond to these requests may delay the review of your application materials .
Help Your Application Rise to the Top!
Your candidate profile, cover letter, and resume are the perfect opportunity to highlight your interest in the position and showcase the amazing skills and experience, making you the best candidate for the position. Candidates whose training and/or experience most closely match the requirements and needs of the position and who attach all necessary documents will be eligible for an interview. Submissions will be screened for consistency of information and communication skills at the professional level (attention to detail, spelling, grammar, etc.)
Need help?
Contact Christina Steele, HR Analyst, at
Christina.steele@state.or.us
or call (503) 934-3482 with questions about the recruitment and selection process (e.g., supplemental questions, clarification of job announcement information, etc.).
If you need an alternate format in order to complete the application process, please contact Christina and be prepared to describe the alternate format needed.
The Fine Print
Salary Range: The range listed is the Non-PERS salary range. Public Employee Retirement System (PERS) participating members will have their base salary increased by 6.95% and pay a 6% employee contribution to PERS.
Criminal Records Check: Employment is contingent on the outcome of a criminal records check which may require fingerprints (FBI). Any history of criminal activity will be reviewed and could result in the withdrawal of an offer or termination of employment.
Veterans: If you are a veteran you may receive preference. A request will be sent to your applicant inbox to submit your veteran’s DD214 form.
Click here
for more information about veterans’ preference.
Future Vacancies: We may use the candidates from this posting to fill future vacancies. This position may become permanent if future funding becomes available.
Position Description: A complete position description is available by contacting the recruiter.
Visa Sponsorship: We do not offer Visa sponsorships. If you are hired, you will be required to fill out the US Department of Homeland Security’s I-9 form confirming you are able to work in the US.
The HECC is an Equal Opportunity Affirmative Action (EEO/AA) Employer Committed to Workforce Diversity Employment Opportunity Commission under Title I of the Americans with Disabilities Act (ADA). HECC does not discriminate on the basis of disability in admission or access to our programs, services, activities, hiring, and employment practices.","Hiring Insights
Job activity
Posted today"
938,"Job details
Job Type
Full-time",,"Responsible for the definition of business data requirements, data quality, data security and routine and non-routine reporting for the Provider Network Management areas.
Job Description:
BlueCross, as a federal contractor, may be required to implement a COVID-19 vaccine mandate.
Job Responsibilities
Production and compliance tracking of all Bureau related provider requests.
Completion and documentation of Provider related RFP responses.
Support and maintenance of departmental desktop applications.
Design and maintenance of departmental tracking and reporting databases.
Production and analysis of Provider Network assessments, ad hoc provider related network adequacy reports, and of provider related claims reporting.
Consulting, maintenance and testing of systems.
Job Qualifications
Education
Bachelor's Degree or equivalent work experience required. Equivalent experience is defined as 4 years of professional work experience in a corporate environment
Experience
1 year - Experience with data analysis and SQL development.
2 years - Reporting, data analysis, or similar experience required.
1 year - Program planning and implementation experience
Skills\Certifications
Ability to understand the steps involved in the development, design, configuration, testing and implementation of new systems and/or processes
Ability to work independently with minimal supervision or function in a team environment sharing responsibility, roles and accountability.
Proficient in Microsoft Office (Outlook, Word, Excel and PowerPoint)
Must be a team player, be organized and have the ability to handle multiple projects
Excellent oral and written communication skills
Strong interpersonal and organizational skills
Job Specific Requirements:
Project Management, Tableau and SRSS experience is highly preferred
Preferred Skills:
Number of Openings Available:
1
Worker Type:
Employee
Worker Sub-Type:
FlexHome
Company:
BCBST BlueCross BlueShield of Tennessee, Inc.
Applying for this job indicates your acknowledgement and understanding of the following statements:
BCBST is an Equal Opportunity employer (EEO), and all employees and applicants will be entitled to equal employment opportunities when employment decisions are made. BCBST will take affirmative action to recruit, hire, train and promote individuals in all job classifications without regard to race, religion, color, age, sex, national origin, citizenship, pregnancy, veteran status, sexual orientation, physical or mental disability, gender identity, or any other characteristic protected by applicable law.
Further information regarding BCBST's EEO Policies/Notices may be found by reviewing the following page:
BCBST's EEO Policies/Notices
BlueCross BlueShield of Tennessee is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at BlueCross BlueShield of Tennessee via-email, the Internet or any other method without a valid, written Direct Placement Agreement in place for this position from BlueCross BlueShield of Tennessee HR/Talent Acquisition will not be considered. No fee will be paid in the event the applicant is hired by BlueCross BlueShield of Tennessee as a result of the referral or through other means.
All applicants will be advised that BlueCross, as a federal contractor, may be required to implement a COVID-19 vaccine mandate.
Tobacco-Free Hiring Statement
To further our mission of peace of mind through better health, effective 2017, BlueCross BlueShield of Tennessee and its subsidiaries no longer hire individuals who use tobacco or nicotine products (including but not limited to cigarettes, cigars, pipe tobacco, snuff, chewing tobacco, gum, patch, lozenges and electronic or smokeless cigarettes) in any form in Tennessee and where state law permits. A tobacco or nicotine free hiring practice is part of an effort to combat serious diseases, as well as to promote health and wellness for our employees and our community. All offers of employment will be contingent upon passing a background check which includes an illegal drug and tobacco/nicotine test. An individual whose post offer screening result is positive for illegal drugs or tobacco/nicotine and/or whose background check is verified to be unsatisfactory, will be disqualified from employment, the job offer will be withdrawn, and they may be disqualified from applying for employment for six (6) months from the date of the post offer screening results.
Resources to help individuals discontinue the use of tobacco/nicotine products include smokefree.gov or 1-800-QUIT-NOW.","Hiring Insights
Job activity
Posted 30+ days ago"
939,"Job details
Salary
$40 - $65 an hour
Job Type
Full-time",,"Proficient in Microsoft Power BI.
Prior experience building a Data Dashboard.
Knowledge of education data.
Required skills
Creating Data Dashboard using Multiple Data Sources .
Experience handling Educational Data & creating a Dashboard .
Job Type: Full-time
Pay: $40.00 - $65.00 per hour
Compensation package:
1099 contract
Experience level:
6 years
Schedule:
8 hour shift
Monday to Friday
Experience:
SQL: 5 years (Required)
Power BI: 6 years (Preferred)
Educational Data Using Power BI: 4 years (Required)
Work Location: Remote","Hiring Insights
Hiring 1 candidate for this role
Job activity
Employer reviewed job 5 days ago
Posted 6 days ago"
940,,,"DATA ANALYST I - BIS

WHAT IS THE OPPORTUNITY?

Data governance at City National Bank (CNB) is a critical factor in the support of compliance with regulations required by the Office of the Comptroller of the Currency (OCC) and the Federal Reserve Board (FRB). This position is responsible for providing support to the division by providing data reporting needs. Produce intelligence through querying data repositories, generating periodic reports, and identifying data patterns and trends through quantitative and qualitative analysis. This position will participate in the data collection and analysis required for the design and development of predictive models, related business processes, reporting structures and interfaces in Banking & Investment Services.


Banking and Investment Services Division
Banking and Investment Services plays an integral role in leading the strategic vision and execution of all banking operations. Our servicing and operations professionals partner closely with all of our lines of business to carry out critical functions, including client/deposit servicing, contact center operations, payments processing, and trade and lending operations, while identifying and mitigating risk throughout the organization. Servicing and operations professionals seek to transform and define an integrated support model through automation and cutting-edge digital technologies, to deliver an excellent experience for our clients and businesses.

WHAT WILL YOU DO?

Work with Business Users to define and document explicit data requirements for any routine and/or non-routine data collection and analysis activities
Author queries on various source systems, data marts and data warehouse
Identify trends and anomalies in the data in support of the requirements for various strategic and/or tactical projects
Identify data quality issues and concerns and support data governance initiatives
Conduct on-going analysis of the business, operating practices, and data flows within and between various systems and applications
Foster and maintain good working relationships with colleagues to meet expected customer service levels
Develop and maintain positive, productive, and professional relationships with key business partners to meet expected customer service levels
Comply fully with all Bank Operational policies and procedures as well as all regulatory requirements (e.g. Bank Secrecy Act, Know Your Client, Community Reinvestment Act, Fair Lending Practices, etc.)


WHAT DO YOU NEED TO SUCCEED

Must-Have*
Bachelor's Degree
Minimum 2 years of experience with SAS or SQL, or other data management, reporting and query tools (Sharepoint, SAP, Business Objects, Tableau, Crystal reports/Dashboard, etc)

Skills and Knowledge
Bachelor's degree in Computer Science, Business Analytics or related discipline highly preferred
Experience with writing database queries (i.e. SQL, MySQL, PL/SQL, T-SQL)
Experience in using ETL tools, Business Objects or other related BI tools
Experience with programming languages (i.e. VBA, C++, C#, Javascript) a plus
Experience designing and generating scheduled and ad hoc reports using reporting/query tools (i.e. Brio, Toad, SQL Developer, MS Access, Crystal Reports, Business Objects, etc.)
Must be detail-oriented and possess effective organizational and analytical skills
Must have excellent verbal and written communications skills and ability to communicate clearly and professionally with all levels of the organization
Ability to express complex technical concepts in business terms
Compensation
Starting base salary: $34.55 - $55.19 per hour. Exact compensation may vary based on skills, experience, and location. This job is eligible for bonus and/or commissions.

To be considered for this position you must meet at least these basic qualifications
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.

INCLUSION AND EQUAL OPPORTUNITY EMPLOYMENT
City National Bank is an equal opportunity employer committed to diversity and inclusion. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or any other basis protected by law.

ABOUT CITY NATIONAL

We start with a basic premise: Business is personal. Since day one we've always gone further than the competition to help our clients, colleagues and community flourish. City National Bank was founded in 1954 by entrepreneurs for entrepreneurs and that legacy of integrity, community and unparalleled client relationships continues to drive phenomenal growth today. City National is a subsidiary of Royal Bank of Canada, one of North America’s leading diversified financial services companies.

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled","Hiring Insights
Job activity
Posted 30+ days ago"
941,"Job details
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
Dental insurance
Health insurance
Paid time off","Summary:
The Senior Analyst - FP&A is responsible for tracking financial performance of Maintenance Capital expense, forecasting, and variance analysis. Assists and supports short and long-term Maintenance Capital and O&M expense planning activities.
Essential Duties and Responsibilities:
Perform detailed variance analysis of actual financial results versus plan, forecast, and key performance metrics
Identify trends in variances and make recommendations for financial improvement and optimization to management
Work closely with accounting to ensure accurate financial reporting
Coordinate with field analysts, operations management, and project managers to accurately budget and forecast projects
Appropriately categorize projects as Growth, Maintenance, or Expense in accordance with Energy Transfer’s corporate capitalization guidelines
Assist in the preparation of monthly, quarterly, and annual performance management reporting of Maintenance Capital for executives, Board of Directors, and investor groups
Support the company-wide annual Maintenance Capital planning process and subsequent monthly forecasting process
Increase productivity and efficiency by developing automated reports and processes
Provide support for earnings releases, 10-K, 10-Q, and other external financial reporting
Contribute to overall Corporate Financial Planning and Analysis team goals as needed
Requirements:
Education and/or Experience, Knowledge, Skills & Abilities:
To perform this job successfully, an individual must be able to perform each essential job duty satisfactorily. The requirements for this position are listed below:
Undergraduate degree in finance, accounting, or business
5-8 years of experience in Financial Planning & Analysis, Cost Control, or related role
Demonstrated analytical, organizational, and problem-solving skills
Must be highly proficient with MS Excel and PowerPoint
Highly organized with the ability to perform multiple tasks
Self-starter with ability to learn quickly
Excellent communication skills, both verbal and written
IBM Cognos TM1 experience preferred
Required experience is commensurate with the selected job level:
The Associate Analyst level requires a Bachelor’s degree in Accounting, Finance or related business field and 0-2 years of relevant experience.
The Analyst level requires a Bachelor’s degree in Accounting, Finance or related business field and 2-5 years of relevant experience.
The Senior Analyst level requires a Bachelor’s degree in Accounting, Finance or related business field and 5-8 years of relevant experience.
Software Knowledge:
Proficient use of financial systems and analysis tools, including Microsoft Excel and PowerBI with the ability to manipulate and analyze data.
SAP Experience or related ERP preferred.
EOE
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Accounting: 5 years (Required)
IBM Cognos TM1: 3 years (Preferred)
Financial planning: 5 years (Required)
SAP: 3 years (Preferred)
Work Location: In person

Health insurance","Hiring Insights
Hiring 1 candidate for this role
Urgently hiring
Job activity
0
Posted 8 days ago"
